n	time_ShakerSort	time_QuickSort
529	796	53
530	821	51
531	762	48
532	764	68
533	895	49
534	798	48
535	769	47
536	792	53
537	878	50
538	844	52
539	797	49
540	798	50
541	795	50
542	821	50
543	849	67
544	823	51
545	827	51
546	800	49
547	793	52
548	802	50
549	853	51
550	797	49
551	846	51
552	839	51
553	823	51
554	854	49
555	857	53
556	872	53
557	829	55
558	881	52
559	903	51
560	839	51
561	883	50
562	937	53
563	865	54
564	846	52
565	861	50
566	877	53
567	882	56
568	868	52
569	874	51
570	886	51
571	878	56
572	883	54
573	902	52
574	1082	59
575	961	54
576	938	52
577	951	55
578	903	53
579	1014	54
580	943	57
581	955	53
582	923	53
583	961	55
584	914	56
585	914	56
586	912	53
587	951	53
588	938	56
589	937	55
590	1227	77
591	1523	76
592	1502	73
593	1499	89
594	1155	54
595	955	57
596	958	54
597	955	55
598	941	57
599	942	57
600	946	57
601	1015	56
602	1016	55
603	1017	56
604	1001	59
605	1016	57
606	1004	54
607	1028	56
608	1015	56
609	1061	56
610	1031	57
611	995	54
612	1019	58
613	1028	58
614	1012	59
615	1050	59
616	1041	58
617	1022	55
618	1053	63
619	1063	59
620	1033	60
621	1090	56
622	1113	58
623	1069	59
624	1160	60
625	1063	60
626	1052	59
627	1076	59
628	1072	57
629	1051	65
630	1071	61
631	1086	63
632	1077	61
633	1081	66
634	1052	56
635	1105	59
636	1100	59
637	1111	60
638	1117	78
639	1190	60
640	1128	60
641	1109	62
642	1125	61
643	1166	59
644	1108	61
645	1134	62
646	1142	63
647	1157	63
648	1113	58
649	1137	68
650	1156	59
651	1184	64
652	1200	66
653	1175	62
654	1367	83
655	1904	82
656	1719	67
657	1492	59
658	1160	61
659	1184	64
660	1213	67
661	1176	61
662	1199	60
663	1173	63
664	1183	102
665	1200	63
666	1225	67
667	1279	66
668	1418	63
669	1190	63
670	1222	62
671	1292	65
672	1280	62
673	1239	63
674	1249	67
675	1423	63
676	1208	67
677	1329	65
678	1237	67
679	1271	64
680	1201	64
681	1256	66
682	1303	66
683	1275	65
684	1237	62
685	1213	65
686	1281	63
687	1277	68
688	1285	65
689	1400	66
690	1272	66
691	1283	64
692	1353	67
693	1321	64
694	1327	70
695	1404	67
696	1345	67
697	1374	65
698	1333	67
699	1360	69
700	1376	65
701	1416	69
702	1375	65
703	1398	66
704	1304	64
705	1346	69
706	1357	70
707	1357	66
708	1342	68
709	1646	91
710	2133	83
711	1955	91
712	2392	75
713	1621	67
714	1355	85
715	1569	73
716	1576	70
717	1521	71
718	1503	69
719	1518	87
720	1448	70
721	1682	94
722	1891	70
723	1429	72
724	1502	75
725	1434	71
726	1428	67
727	1445	71
728	1478	68
729	1511	72
730	1583	109
731	1570	72
732	1650	74
733	1518	72
734	1522	73
735	1456	74
736	1535	74
737	1612	68
738	1604	72
739	1691	69
740	1538	72
741	1680	79
742	1566	91
743	1747	74
744	1633	71
745	1632	76
746	1504	76
747	1674	89
748	1495	70
749	1612	77
750	1759	77
751	1670	71
752	1590	77
753	1561	72
754	1526	74
755	1659	74
756	1745	75
757	1596	71
758	1550	72
759	1593	75
760	1537	71
761	1718	75
762	1761	74
763	2288	109
764	2310	81
765	2121	69
766	1630	73
767	1647	76
768	1869	73
769	1823	76
770	1730	75
771	1640	74
772	1648	71
773	1667	74
774	1662	73
775	1865	77
776	1733	75
777	1630	77
778	1700	93
779	1943	77
780	2042	81
781	1856	79
782	1735	74
783	1692	76
784	1671	77
785	1674	77
786	1706	80
787	1966	80
788	1900	79
789	2091	126
790	1910	76
791	1756	78
792	1986	77
793	1859	111
794	2237	78
795	1720	86
796	1773	77
797	1859	76
798	2225	100
799	2111	78
800	1845	75
801	1792	77
802	1857	77
803	1963	108
804	1896	77
805	2300	90
806	1971	82
807	1992	87
808	1919	86
809	1920	98
810	2689	99
811	1901	118
812	1938	82
813	2049	79
814	2188	104
815	2616	96
816	2375	82
817	1975	84
818	2012	89
819	2389	145
820	2584	97
821	2088	82
822	2410	90
823	1948	85
824	1932	82
825	1817	83
826	1842	81
827	2019	82
828	1956	84
829	2503	120
830	2382	94
831	2310	84
832	2112	80
833	2172	83
834	2013	83
835	1997	82
836	1952	80
837	1995	99
838	2362	81
839	2065	85
840	2045	82
841	2340	85
842	2416	85
843	2183	87
844	2062	85
845	2011	85
846	1933	85
847	2283	82
848	2376	97
849	2373	83
850	1994	82
851	2139	84
852	2104	87
853	2057	87
854	2045	88
855	2224	81
856	2303	82
857	2205	83
858	2064	86
859	2059	86
860	2226	89
861	2439	82
862	2114	85
863	2170	88
864	2267	89
865	2285	130
866	2289	85
867	2029	86
868	2093	87
869	2014	83
870	2232	132
871	2269	86
872	2140	102
873	2152	87
874	2039	80
875	2056	103
876	2417	85
877	2354	81
878	2289	83
879	2178	83
880	2064	82
881	2242	107
882	2329	86
883	2124	85
884	2303	83
885	2277	88
886	2198	86
887	2530	91
888	2461	91
889	2135	88
890	2270	87
891	2998	94
892	2294	90
893	2276	92
894	2214	97
895	2221	90
896	2144	86
897	2332	87
898	2544	89
899	3281	121
900	3563	94
901	2358	91
902	2836	124
903	2521	94
904	2660	98
905	2297	89
906	2213	87
907	2291	89
908	2318	89
909	2486	93
910	2431	100
911	2381	88
912	2278	88
913	2208	96
914	2271	91
915	2387	87
916	2338	87
917	2321	89
918	2368	89
919	2243	90
920	2266	88
921	2162	88
922	2309	86
923	2253	89
924	2246	89
925	2433	84
926	2353	87
927	2261	88
928	2364	93
929	2349	89
930	2222	86
931	2362	87
932	2285	87
933	2347	91
934	2320	89
935	2295	87
936	2333	89
937	2374	92
938	2369	90
939	2518	91
940	2305	89
941	2425	91
942	2313	92
943	2310	91
944	2411	95
945	2376	94
946	2433	92
947	2381	96
948	2411	90
949	2499	91
950	2442	94
951	2367	98
952	2423	92
953	2413	93
954	2406	93
955	2564	90
956	2409	90
957	2422	87
958	2465	100
959	2471	92
960	2391	88
961	2423	91
962	2452	95
963	2477	94
964	2571	91
965	2408	92
966	2411	97
967	2403	98
968	2525	92
969	2461	94
970	2419	94
971	2534	88
972	2509	93
973	2566	94
974	2575	92
975	2520	93
976	2476	129
977	2419	100
978	2681	98
979	2564	95
980	2573	94
981	2631	96
982	2591	94
983	2829	92
984	2645	99
985	2543	95
986	2577	98
987	2617	98
988	2600	104
989	2692	110
990	2651	94
991	2612	94
992	2655	95
993	2637	99
994	2661	92
995	2637	99
996	2673	97
997	2610	94
998	2658	93
999	2683	101
